color,answer,repeat_color_practice.thisRepN,repeat_color_practice.thisTrialN,repeat_color_practice.thisN,repeat_color_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,colorpractice_numVertices,colorpractice_correct,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,
#2c7bb6,b,1,0,1,0,0,2,2,7,,,,,,,,,,,,,f,0.166984016203,5,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,0,3,3,3,,,,,,,,,,,,,a,0.151470108529,6,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,0,4,4,4,,,,,,,,,,,,,f,0.167909067421,4,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,0,5,5,1,,,,,,,,,,,,,a,0.117845188463,3,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,0,6,6,0,,,,,,,,,,,,,f,0.134481830753,999,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,1,0,1,0,0,7,7,6,,,,,,,,,,,,,a,0.117510956257,3,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,0,8,8,2,,,,,,,,,,,,,f,0.151308570401,6,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,1,0,9,5,,,,,,,,,,,,,a,0.10129467009,4,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,1,0,1,0,1,1,10,7,,,,,,,,,,,,,f,0.167607410584,5,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,1,0,1,0,1,2,11,6,,,,,,,,,,,,,a,0.10142988018,4,1,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,1,3,12,1,,,,,,,,,,,,,f,0.168377171003,5,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,1,4,13,2,,,,,,,,,,,,,a,0.184557758135,4,1,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,1,0,1,0,1,5,14,8,,,,,,,,,,,,,f,0.234535959415,3,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,1,6,15,3,,,,,,,,,,,,,a,0.21840490469,999,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,1,0,1,0,1,7,16,0,,,,,,,,,,,,,f,0.283932712675,5,,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,1,0,1,0,1,8,17,4,,,,,,,,,,,,,a,0.267191204472,6,0,,,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.500925720573,,,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,,,,,,,,,0,0,0,32,,,,,,,,,,,4,,,,f,0.60138904941,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,,,,,,,,,0,1,1,15,,,,,,,,,,,999,0,,,a,0.218482103852,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,,,,,,,,,0,2,2,7,,,,,,,,,,,5,,,,f,0.217971161428,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,,,,,,,,,0,3,3,55,,,,,,,,,,,999,0,,,a,0.151160865649,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,,,,,,,,,0,4,4,0,,,,,,,,,,,6,,,,f,0.150986386619,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#2c7bb6,b,,,,,,,,,0,5,5,54,,,,,,,,,,,4,0,,,a,0.150395567609,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#fdae61,o,,,,,,,,,0,6,6,37,,,,,,,,,,,3,,,,f,0.168241960913,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
#d7191c,r,,,,,,,,,0,7,7,6,,,,,,,,,,,999,0,,,a,0.0849543297791,2018_Aug_09_1209,60.0293857651,Arrows_VVA_Color,1001,
