Direction,Random_within_format,Background,Format,Stimulus_Practice,Number,Random_format_order,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_13.keys,key_resp_13.rt,color_response.keys,color_response.rt,date,frameRate,expName,participant,Scr or Whi,
left,0.727062377481,_WHI,schema,left_schema_1_WHI.jpg,1,0.361061419631,,,,,1,0,1,0,0,6,6,6,,,,,,,,,f,0.0512211362948,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.82194175512,_WHI,schema,right_schema_2_WHI.jpg,2,0.361061419631,,,,,1,0,1,0,0,7,7,7,,,,,,,,,j,0.0334596853936,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.897452651833,_WHI,schema,left_schema_2_WHI.jpg,2,0.361061419631,,,,,1,0,1,0,0,8,8,8,,,,,,,,,f,0.0172476948355,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.0263609018167,_WHI,image,ahead_image_1_WHI.jpg,1,0.46033210411,,,,,1,0,1,0,0,9,9,9,,,,,,,,,j,0.0508917004336,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.0371659913111,_WHI,image,ahead_image_2_WHI.jpg,2,0.46033210411,,,,,1,0,1,0,0,10,10,10,,,,,,,,,j,0.101450161543,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.197895092928,_WHI,image,left_image_3_WHI.jpg,3,0.46033210411,,,,,1,0,1,0,0,11,11,11,,,,,,,,,j,0.0845948056085,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.595789165394,_WHI,image,left_image_1_WHI.jpg,1,0.46033210411,,,,,1,0,1,0,0,12,12,12,,,,,,,,,f,0.000447342346888,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.746993454447,_WHI,image,right_image_3_WHI.jpg,3,0.46033210411,,,,,1,0,1,0,0,13,13,13,,,,,,,,,j,0.0675264573074,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.755076891479,_WHI,image,right_image_1_WHI.jpg,1,0.46033210411,,,,,1,0,1,0,0,14,14,14,,,,,,,,,f,0.0174846780137,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
ahead,0.764293170365,_WHI,image,ahead_image_3_WHI.jpg,3,0.46033210411,,,,,1,0,1,0,0,15,15,15,,,,,,,,,j,0.0677087295335,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.857745928729,_WHI,image,right_image_2_WHI.jpg,2,0.46033210411,,,,,1,0,1,0,0,16,16,16,,,,,,,,,f,0.0345208434155,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.972897053454,_WHI,image,left_image_2_WHI.jpg,2,0.46033210411,,,,,1,0,1,0,0,17,17,17,,,,,,,,,j,0.0169814545079,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.0259202015148,_WHI,word,left_word_1_WHI.jpg,1,0.57093148646,,,,,1,0,1,0,0,18,18,18,,,,,,,,,f,0.0674454148975,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
right,0.107386856858,_WHI,word,right_word_3_WHI.jpg,3,0.57093148646,,,,,1,0,1,0,0,19,19,19,,,,,,,,,j,0.0337013496901,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
left,0.175133057318,_WHI,word,left_word_3_WHI.jpg,3,0.57093148646,,,,,1,0,1,0,0,20,20,20,,,,,,,,,f,0.0506219491945,,,,,2018_May_08_1329,59.9839596433,Arrows_VVA_Direction,1234,Whi,
