15.1884 	ERROR 	avbin.dll failed to load.
                     Try importing psychopy.visual as the first library
                     (before anything that uses scipy)
                     and make sure that avbin is installed.
70.7196 	EXP 	text_same_practice: text = ''
70.7196 	EXP 	text_9: autoDraw = True
70.7196 	EXP 	text_same_practice: autoDraw = True
70.9534 	DATA 	Keypress: f
70.9541 	EXP 	New trial (rep=0, index=5): {u'color': u'#2c7bb6', u'answer': u'b'}
70.9598 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#2c7bb6', fillColorSpace='hex', fillRGB=array([ 44, 123, 182]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
70.9860 	EXP 	text_9: autoDraw = False
70.9860 	EXP 	text_same_practice: autoDraw = False
70.9860 	EXP 	unnamed Polygon: autoDraw = False
70.9860 	EXP 	text_same_practice: text = 'SAME?'
70.9860 	EXP 	text_9: autoDraw = True
70.9860 	EXP 	text_same_practice: autoDraw = True
71.2370 	DATA 	Keypress: a
71.2395 	EXP 	New trial (rep=0, index=6): {u'color': u'#fdae61', u'answer': u'o'}
71.2468 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#fdae61', fillColorSpace='hex', fillRGB=array([253, 174,  97]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
71.2698 	EXP 	text_9: autoDraw = False
71.2698 	EXP 	text_same_practice: autoDraw = False
71.2698 	EXP 	unnamed Polygon: autoDraw = False
71.2698 	EXP 	text_same_practice: text = ''
71.2698 	EXP 	text_9: autoDraw = True
71.2698 	EXP 	text_same_practice: autoDraw = True
71.5030 	DATA 	Keypress: f
71.5051 	EXP 	New trial (rep=0, index=7): {u'color': u'#fdae61', u'answer': u'o'}
71.5353 	EXP 	Created unnamed Polygon = Polygon(autoDraw=True, autoLog=True, closeShape=True, contrast=1.0, depth=0, fillColor=u'#fdae61', fillColorSpace='hex', fillRGB=array([253, 174,  97]), interpolate=True, lineColor=array([ 1.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 1.,  1.,  1.]), lineWidth=1.5, name='unnamed Polygon', opacity=1.0, ori=array(0.0), pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), units='height', vertices=ndarray(...), win=Window(...))
71.5523 	EXP 	text_9: autoDraw = False
71.5523 	EXP 	text_same_practice: autoDraw = False
71.5523 	EXP 	unnamed Polygon: autoDraw = False
71.5523 	EXP 	text_same_practice: text = 'SAME?'
71.5523 	EXP 	text_9: autoDraw = True
71.5523 	EXP 	text_same_practice: autoDraw = True
71.7865 	DATA 	Keypress: a
71.7874 	EXP 	New trial (rep=0, index=8): {u'color': u'#fdae61', u'answer': u'o'}
