3.6220 	ERROR 	avbin.dll failed to load.
23.9264 	EXP 	image: image = u'Extra_Stimuli//ahead_image_2_WHI.jpg'
23.9264 	EXP 	text_same_practice: text = 'SAME?'
23.9264 	EXP 	text_9: autoDraw = True
23.9264 	EXP 	image: autoDraw = True
23.9264 	EXP 	text_same_practice: autoDraw = True
24.5104 	DATA 	Keypress: f
24.5110 	EXP 	New trial (rep=0, index=6): {u'Stimulus_Practice': u'right_image_1_WHI.jpg', u'Direction': u'right', u'Number': 1, u'Background': u'_WHI', u'Format': u'image'}
24.5764 	EXP 	text_9: autoDraw = False
24.5764 	EXP 	image: autoDraw = False
24.5764 	EXP 	text_same_practice: autoDraw = False
24.5764 	EXP 	image: image = u'Extra_Stimuli//right_image_1_WHI.jpg'
24.5764 	EXP 	text_same_practice: text = ''
24.5764 	EXP 	text_9: autoDraw = True
24.5764 	EXP 	image: autoDraw = True
24.5764 	EXP 	text_same_practice: autoDraw = True
25.1430 	DATA 	Keypress: f
25.1436 	EXP 	New trial (rep=0, index=7): {u'Stimulus_Practice': u'left_image_3_WHI.jpg', u'Direction': u'left', u'Number': 3, u'Background': u'_WHI', u'Format': u'image'}
25.2090 	EXP 	text_9: autoDraw = False
25.2090 	EXP 	image: autoDraw = False
25.2090 	EXP 	text_same_practice: autoDraw = False
25.2090 	EXP 	image: image = u'Extra_Stimuli//left_image_3_WHI.jpg'
25.2090 	EXP 	text_same_practice: text = 'SAME?'
25.2090 	EXP 	text_9: autoDraw = True
25.2090 	EXP 	image: autoDraw = True
25.2090 	EXP 	text_same_practice: autoDraw = True
25.7266 	DATA 	Keypress: f
25.7272 	EXP 	New trial (rep=0, index=8): {u'Stimulus_Practice': u'left_image_1_WHI.jpg', u'Direction': u'left', u'Number': 1, u'Background': u'_WHI', u'Format': u'image'}
25.7921 	EXP 	text_9: autoDraw = False
25.7921 	EXP 	image: autoDraw = False
25.7921 	EXP 	text_same_practice: autoDraw = False
25.7921 	EXP 	image: image = u'Extra_Stimuli//left_image_1_WHI.jpg'
25.7921 	EXP 	text_9: autoDraw = True
25.7921 	EXP 	image: autoDraw = True
25.7921 	EXP 	text_same_practice: autoDraw = True
27.8247 	DATA 	Keypress: f
27.8748 	EXP 	text_9: autoDraw = False
27.8748 	EXP 	image: autoDraw = False
27.8748 	EXP 	text_same_practice: autoDraw = False
27.8748 	EXP 	text_2: autoDraw = True
28.3926 	DATA 	Keypress: escape
