Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,date,frameRate,expName,participant,Scr or Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,f,0.28261977993,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,a,0.499226153595,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,f,0.0212830333039,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,a,0.483324739616,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,,,,,1,0,1,0,,,,,,,,,0,8,8,6,,,,,,,,,,,,,,,None,,,,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.394732672023,,,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_5_WHI.jpg,left,5,schema,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,f,0.659387721447,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
,,,,,ahead_schema_6_WHI.jpg,ahead,6,schema,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,a,0.719320788747,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_4_WHI.jpg,left,4,schema,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,f,0.345582548296,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
,,,,,left_schema_15_WHI.jpg,left,15,schema,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,a,0.260066571413,2018_Aug_07_1009,None,Arrows_VVA_Direction,1001,Whi,
