Stimulus,direction,number,format,Stimulus_Practice,Direction,Number,Background,Format,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,spatialdirection_correct,date,frameRate,expName,participant,Scr or Whi,
,,,,ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,f,0.0339124560014,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,f,0.301373597932,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_schema_1_WHI.jpg,left,1,_WHI,schema,,,,,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,f,0.101473643627,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,,,,,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,f,0.20101687836,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_schema_2_WHI.jpg,left,2,_WHI,schema,,,,,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,f,0.18502786286,,,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_word_1_WHI.jpg,left,1,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,d,0.485700426957,,,f,3.41678625742,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,left_word_2_WHI.jpg,left,2,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,f,0.484493809839,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,right_word_2_WHI.jpg,right,2,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,f,3.64991994559,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_word_2_WHI.jpg,ahead,2,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,f,0.134747984806,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
,,,,ahead_word_1_WHI.jpg,ahead,1,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,f,0.517744946845,,,,,,2018_Nov_08_1210,60.2110229537,Arrows_VVA_Direction,1003,Whi,
