Stimulus_Practice,Direction,Number,Background,Format,Stimulus,direction,number,format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,spatialdirection_correct,date,frameRate,expName,participant,Scr or Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,,,,,0,0,0,0,,,,,0,7,7,0,,,,,,,,,,,,,,,,,a,1.6839466353,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,d,5.08433316659,,,f,5.54871646355,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,a,1.55076871176,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,f,1.45041114131,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,a,1.46725349929,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,f,1.50062674116,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,a,1.23423831872,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,6,6,8,,,,,,,,,,,,,,,f,1.21769761758,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,,,,,0,0,0,0,,,,,,,,,0,7,7,4,,,,,,,,,,,,,,,f,1.40101929667,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,,,,,1,0,1,0,0,0,0,8,,,,,,,,,,,,,,,d,11.7623412676,f,1.98321476048,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,,,,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,a,1.41769833156,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,,,,,1,0,1,0,0,2,2,1,,,,,,,,,,,,,,,,,f,1.71707087642,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,,,,,1,0,1,0,0,3,3,4,,,,,,,,,,,,,,,,,a,1.28377831435,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,,,,,1,0,1,0,0,4,4,2,,,,,,,,,,,,,,,,,f,1.21665877569,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,,,,,1,0,1,0,0,5,5,7,,,,,,,,,,,,,,,,,f,1.5836908071,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,,,,,1,0,1,0,0,6,6,5,,,,,,,,,,,,,,,,,f,1.16786845977,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,,,,,1,0,1,0,0,7,7,3,,,,,,,,,,,,,,,,,a,1.16707594122,,,,,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,,,,,1,0,1,0,,,,,0,0,0,6,,,,,,,,,,,,,,,d,2.93360782916,f,3.93258505183,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,,,,,1,0,1,0,,,,,0,1,1,8,,,,,,,,,,,,,,,,,a,1.13453582554,,,,,,,,2018_Oct_02_1047,60.038231236,Arrows_VVA_Direction,1002,Whi,
