Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,date,frameRate,expName,participant,Scr or Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,1,0,1,0,,,,,0,4,4,4,,,,,,,,,,,,,f,0.284619024023,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,1,0,1,0,,,,,0,5,5,5,,,,,,,,,,,,,f,0.0861891959794,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,1,0,1,0,,,,,0,6,6,6,,,,,,,,,,,,,f,0.284610831644,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_image_3_WHI.jpg,ahead,3,_WHI,image,1,0,1,0,,,,,0,7,7,7,,,,,,,,,,,,,f,0.0839185495861,,,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,1,0,1,0,,,,,,,,,0,0,0,0,,,,,,,d,0.751128520817,,,f,0.267368428409,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,1,0,1,0,,,,,,,,,0,1,1,1,,,,,,,,,,,f,0.0666228979826,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,1,0,1,0,,,,,,,,,0,2,2,2,,,,,,,,,,,f,0.267904418986,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,1,0,1,0,,,,,,,,,0,3,3,3,,,,,,,,,,,f,0.0832093558274,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,1,0,1,0,,,,,,,,,0,4,4,4,,,,,,,,,,,f,0.150493758265,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,1,0,1,0,,,,,,,,,0,5,5,5,,,,,,,,,,,f,0.133844104595,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,1,0,1,0,,,,,,,,,0,6,6,6,,,,,,,,,,,f,0.500738596544,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,1,0,1,0,,,,,,,,,0,7,7,7,,,,,,,,,,,f,0.133774472401,,,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.13478208845,2018_Nov_05_1105,59.942074218,Arrows_VVA_Direction,1003,Whi,
