Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,date,frameRate,expName,participant,Scr or Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,,,,,,,,,0,2,2,3,,,,,f,0.0345828686841,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,,,,,,,,,0,3,3,4,,,,,j,0.0511810539756,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,,,,,,,,,0,4,4,7,,,,,f,0.0171742592938,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,,,,,,,,,0,5,5,0,,,,,j,0.0845629152027,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,,,,,,,,,0,6,6,6,,,,,f,0.000798721099272,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,,,,,,,,,0,7,7,8,,,,,j,0.084851976193,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,,,,,,,,,0,8,8,1,,,,,f,0.0347414425341,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,1,0,1,0,0,0,0,5,,,,,,,,,,,space,4.43976092199,f,0.7019351286,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,1,0,1,0,0,1,1,7,,,,,,,,,,,,,j,0.251111480407,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,1,0,1,0,0,2,2,3,,,,,,,,,,,,,f,0.0844435459003,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,1,0,1,0,0,3,3,1,,,,,,,,,,,,,j,0.0677587593091,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,1,0,1,0,0,4,4,8,,,,,,,,,,,,,f,0.0342744978843,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,1,0,1,0,0,5,5,6,,,,,,,,,,,,,j,0.000323584477883,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,1,0,1,0,0,6,6,4,,,,,,,,,,,,,f,0.0681765518966,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,1,0,1,0,0,7,7,2,,,,,,,,,,,,,j,0.0356984450482,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,1,0,1,0,0,8,8,0,,,,,,,,,,,,,f,0.0342926373705,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_schema_3_WHI.jpg,right,3,_WHI,schema,1,0,1,0,,,,,0,0,0,2,,,,,,,,,f,0.267602877051,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,1,0,1,0,,,,,0,1,1,5,,,,,,,,,j,0.0352116054855,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,1,0,1,0,,,,,0,2,2,1,,,,,,,,,f,0.100180107227,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,1,0,1,0,,,,,0,3,3,0,,,,,,,,,j,0.0840222425177,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,1,0,1,0,,,,,0,4,4,4,,,,,,,,,f,0.0512553672306,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,1,0,1,0,,,,,0,5,5,6,,,,,,,,,j,0.0838475771016,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,1,0,1,0,,,,,0,6,6,8,,,,,,,,,f,0.000329435861204,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,1,0,1,0,,,,,0,7,7,3,,,,,,,,,j,0.0846123598749,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,1,0,1,0,,,,,0,8,8,7,,,,,,,,,f,0.017610776471,2018_May_10_1002,59.9259071071,Arrows_VVA_Direction,,Whi,
