Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,date,frameRate,expName,participant,Scr or Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,a,0.0560166249052,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,,,,,0,8,8,0,,,,,,,,,,,,,f,0.0608230934013,,,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,,,,,,,,,0,0,0,7,,,,,,,d,0.817157549551,,,f,0.899415160995,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,,,,,,,,,0,1,1,1,,,,,,,,,,,a,0.498456822941,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_image_2_WHI.jpg,left,2,_WHI,image,0,0,0,0,,,,,,,,,0,2,2,8,,,,,,,,,,,f,0.0740408820566,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_image_3_WHI.jpg,left,3,_WHI,image,0,0,0,0,,,,,,,,,0,3,3,2,,,,,,,,,,,a,0.00127058592625,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,,,,,,,,,0,4,4,3,,,,,,,,,,,f,0.00112033239566,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,,,,,,,,,0,5,5,0,,,,,,,,,,,a,0.0810046782717,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,,,,,,,,,0,6,6,5,,,,,,,,,,,f,0.0907383111771,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,,,,,,,,,0,7,7,4,,,,,,,,,,,a,0.0416485350579,2018_Aug_07_0853,None,Arrows_VVA_Direction,1001,Whi,
