Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Stimulus,direction,number,format,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,date,frameRate,expName,participant,Scr or Whi,
ahead_schema_2_WHI.jpg,ahead,2,_WHI,schema,0,0,0,0,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,a,0.12573381979,,,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
right_schema_1_WHI.jpg,right,1,_WHI,schema,0,0,0,0,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,f,0.0423956969753,,,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
left_schema_2_WHI.jpg,left,2,_WHI,schema,0,0,0,0,,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,a,0.0473889561836,,,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_3_WHI.jpg,ahead,3,_WHI,schema,0,0,0,0,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,f,0.0322999781929,,,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
ahead_schema_1_WHI.jpg,ahead,1,_WHI,schema,0,0,0,0,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,a,0.0326300431043,,,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
right_schema_2_WHI.jpg,right,2,_WHI,schema,0,0,0,0,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,f,0.0201105636079,,,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
left_schema_1_WHI.jpg,left,1,_WHI,schema,0,0,0,0,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,a,0.0319998816121,,,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
left_schema_3_WHI.jpg,left,3,_WHI,schema,0,0,0,0,,,,,0,8,8,5,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
right_image_2_WHI.jpg,right,2,_WHI,image,0,0,0,0,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,s,0.328672054922,,,f,0.146215501241,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_1_WHI.jpg,ahead,1,_WHI,image,0,0,0,0,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,a,0.00106778484769,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
ahead_image_2_WHI.jpg,ahead,2,_WHI,image,0,0,0,0,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,a,0.00157150346786,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
left_image_1_WHI.jpg,left,1,_WHI,image,0,0,0,0,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,f,0.00164252473041,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
right_image_1_WHI.jpg,right,1,_WHI,image,0,0,0,0,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,f,0.0445756039117,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
right_image_3_WHI.jpg,right,3,_WHI,image,0,0,0,0,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,a,0.0238574577961,,,,,2018_Aug_07_1033,None,Arrows_VVA_Direction,1001,Whi,
